route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
14,10060001,10060001_100001_2_14_24,Gallenkamp,,,,14_8_1,,
14,10060001,10060001_100001_3_14_24,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100001_4_14_24,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100001_6_14_24,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100001_7_14_24,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100001_9_14_24,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100001_10_14_24,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100001_12_14_24,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100001_13_14_24,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100001_15_14_24,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100001_16_14_24,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100001_18_14_24,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100001_19_14_24,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100001_21_14_24,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100001_22_14_24,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100001_24_14_24,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
17,10060001,10060001_100002_2_17_489,Krögerweg,,,,17_5_1,,
17,10060001,10060001_100002_3_17_489,Kinderhaus Schulzentrum,,,,17_8_1,,
17,10060001,10060001_100002_5_17_489,Krögerweg,,,,17_4_1,,
14,10060001,10060001_100003_2_14_28,Gallenkamp,,,,14_7_1,,
14,10060001,10060001_100003_3_14_28,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100003_4_14_28,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100003_6_14_28,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100003_7_14_28,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100003_9_14_28,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100003_10_14_28,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100003_12_14_28,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100003_13_14_28,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100003_15_14_28,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100003_16_14_28,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100003_18_14_28,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100003_19_14_28,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100003_21_14_28,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100003_22_14_28,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100003_24_14_28,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100004_2_14_30,Zoo/LWL-Naturkundemuseum,,,,14_2_1,,
14,10060001,10060001_100004_3_14_30,Gallenkamp,,,,14_7_1,,
14,10060001,10060001_100004_4_14_30,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100004_5_14_30,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100004_7_14_30,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100004_8_14_30,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100004_10_14_30,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100004_11_14_30,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100004_13_14_30,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100004_14_14_30,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100004_16_14_30,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100004_17_14_30,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100004_19_14_30,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100004_20_14_30,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100004_22_14_30,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100004_23_14_30,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100005_2_14_53,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100005_3_14_53,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100005_5_14_53,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100005_6_14_53,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100005_8_14_53,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100005_9_14_53,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100005_11_14_53,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100005_12_14_53,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100005_14_14_53,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100005_15_14_53,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100005_17_14_53,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100005_18_14_53,Mauritz Friedhof,,,,14_1_1,,
14,10060001,10060001_100005_20_14_53,Zoo/LWL-Naturkundemuseum,,,,14_6_1,,
14,10060001,10060001_100005_21_14_53,Mauritz Friedhof,,,,14_1_1,,
17,10060001,10060001_100006_2_17_512,Kinderhaus Schulzentrum,,,,17_8_1,,
17,10060001,10060001_100006_4_17_512,Krögerweg,,,,17_4_1,,
17,10060001,10060001_100006_5_17_512,Kinderhaus Schulzentrum,,,,17_8_1,,
17,10060001,10060001_100006_7_17_512,Krögerweg,,,,17_4_1,,
17,10060001,10060001_100006_8_17_512,Kinderhaus Schulzentrum,,,,17_8_1,,
17,10060001,10060001_100006_10_17_512,Krögerweg,,,,17_4_1,,
17,10060001,10060001_100006_11_17_512,Kinderhaus Schulzentrum,,,,17_8_1,,
17,10060001,10060001_100006_13_17_512,Krögerweg,,,,17_4_1,,
